state,election_name,seat_type,k
MYS,GE-00,parlimen,0.2
MYS,GE-01,parlimen,0.2
MYS,GE-02,parlimen,0.2
MYS,GE-03,parlimen,0.03
MYS,GE-04,parlimen,0.03
MYS,GE-05,parlimen,0.03
MYS,GE-06,parlimen,0.03
MYS,GE-07,parlimen,0.03
MYS,GE-08,parlimen,0.03
MYS,GE-09,parlimen,0.03
MYS,GE-10,parlimen,0.03
MYS,GE-11,parlimen,0.02
MYS,GE-12,parlimen,0.02
MYS,GE-13,parlimen,0.02
MYS,GE-14,parlimen,0.02
MYS,GE-15,parlimen,0.02
PLS,SE-01,dun,1
PLS,SE-02,dun,1
PLS,SE-03,dun,1
PLS,SE-04,dun,1
PLS,SE-05,dun,1
PLS,SE-06,dun,1
PLS,SE-07,dun,1
PLS,SE-08,dun,1
PLS,SE-09,dun,1
PLS,SE-10,dun,1
PLS,SE-11,dun,1
PLS,SE-12,dun,1
PLS,SE-13,dun,1
PLS,SE-14,dun,1
PLS,SE-15,dun,1
KDH,SE-01,dun,0.7
KDH,SE-02,dun,0.7
KDH,SE-03,dun,0.7
KDH,SE-04,dun,0.7
KDH,SE-05,dun,0.7
KDH,SE-06,dun,0.7
KDH,SE-07,dun,0.7
KDH,SE-08,dun,0.7
KDH,SE-09,dun,0.7
KDH,SE-10,dun,0.7
KDH,SE-11,dun,0.7
KDH,SE-12,dun,0.7
KDH,SE-13,dun,0.7
KDH,SE-14,dun,0.7
KDH,SE-15,dun,0.7
KTN,SE-01,dun,0.5
KTN,SE-02,dun,0.5
KTN,SE-03,dun,0.5
KTN,SE-04,dun,0.5
KTN,SE-05,dun,0.5
KTN,SE-06,dun,0.5
KTN,SE-07,dun,0.5
KTN,SE-08,dun,0.5
KTN,SE-09,dun,0.5
KTN,SE-10,dun,0.5
KTN,SE-11,dun,0.5
KTN,SE-12,dun,0.5
KTN,SE-13,dun,0.5
KTN,SE-14,dun,0.5
KTN,SE-15,dun,0.5
TRG,SE-01,dun,0.5
TRG,SE-02,dun,0.5
TRG,SE-03,dun,0.5
TRG,SE-04,dun,0.5
TRG,SE-05,dun,0.5
TRG,SE-06,dun,0.5
TRG,SE-07,dun,0.5
TRG,SE-08,dun,0.5
TRG,SE-09,dun,0.5
TRG,SE-10,dun,0.5
TRG,SE-11,dun,0.5
TRG,SE-12,dun,0.5
TRG,SE-13,dun,0.5
TRG,SE-14,dun,0.5
TRG,SE-15,dun,0.5
PNG,SE-01,dun,0.25
PNG,SE-02,dun,0.25
PNG,SE-03,dun,0.25
PNG,SE-04,dun,0.25
PNG,SE-05,dun,0.25
PNG,SE-06,dun,0.25
PNG,SE-07,dun,0.25
PNG,SE-08,dun,0.25
PNG,SE-09,dun,0.25
PNG,SE-10,dun,0.25
PNG,SE-11,dun,0.25
PNG,SE-12,dun,0.25
PNG,SE-13,dun,0.25
PNG,SE-14,dun,0.25
PNG,SE-15,dun,0.25
PRK,SE-01,dun,0.5
PRK,SE-02,dun,0.5
PRK,SE-03,dun,0.5
PRK,SE-04,dun,0.5
PRK,SE-05,dun,0.5
PRK,SE-06,dun,0.5
PRK,SE-07,dun,0.5
PRK,SE-08,dun,0.5
PRK,SE-09,dun,0.5
PRK,SE-10,dun,0.5
PRK,SE-11,dun,0.5
PRK,SE-12,dun,0.5
PRK,SE-13,dun,0.5
PRK,SE-14,dun,0.5
PRK,SE-15,dun,0.5
PHG,SE-01,dun,0.5
PHG,SE-02,dun,0.5
PHG,SE-03,dun,0.5
PHG,SE-04,dun,0.5
PHG,SE-05,dun,0.5
PHG,SE-06,dun,0.5
PHG,SE-07,dun,0.5
PHG,SE-08,dun,0.5
PHG,SE-09,dun,0.5
PHG,SE-10,dun,0.5
PHG,SE-11,dun,0.5
PHG,SE-12,dun,0.5
PHG,SE-13,dun,0.5
PHG,SE-14,dun,0.5
PHG,SE-15,dun,0.5
SGR,SE-01,dun,0.7
SGR,SE-02,dun,0.7
SGR,SE-03,dun,0.7
SGR,SE-04,dun,0.7
SGR,SE-05,dun,0.7
SGR,SE-06,dun,0.5
SGR,SE-07,dun,0.5
SGR,SE-08,dun,0.5
SGR,SE-09,dun,0.5
SGR,SE-10,dun,0.4
SGR,SE-11,dun,0.4
SGR,SE-12,dun,0.4
SGR,SE-13,dun,0.4
SGR,SE-14,dun,0.4
SGR,SE-15,dun,0.5
NSN,SE-01,dun,0.7
NSN,SE-02,dun,0.7
NSN,SE-03,dun,0.7
NSN,SE-04,dun,0.7
NSN,SE-05,dun,0.7
NSN,SE-06,dun,0.7
NSN,SE-07,dun,0.7
NSN,SE-08,dun,0.7
NSN,SE-09,dun,0.7
NSN,SE-10,dun,0.7
NSN,SE-11,dun,0.7
NSN,SE-12,dun,0.7
NSN,SE-13,dun,0.7
NSN,SE-14,dun,0.7
NSN,SE-15,dun,0.7
MLK,SE-01,dun,0.7
MLK,SE-02,dun,0.7
MLK,SE-03,dun,0.7
MLK,SE-04,dun,0.7
MLK,SE-05,dun,0.7
MLK,SE-06,dun,0.7
MLK,SE-07,dun,0.7
MLK,SE-08,dun,0.7
MLK,SE-09,dun,0.7
MLK,SE-10,dun,0.7
MLK,SE-11,dun,0.7
MLK,SE-12,dun,0.7
MLK,SE-13,dun,0.7
MLK,SE-14,dun,0.7
MLK,SE-15,dun,0.7
JHR,SE-01,dun,0.5
JHR,SE-02,dun,0.5
JHR,SE-03,dun,0.5
JHR,SE-04,dun,0.5
JHR,SE-05,dun,0.5
JHR,SE-06,dun,0.5
JHR,SE-07,dun,0.5
JHR,SE-08,dun,0.5
JHR,SE-09,dun,0.5
JHR,SE-10,dun,0.5
JHR,SE-11,dun,0.5
JHR,SE-12,dun,0.5
JHR,SE-13,dun,0.5
JHR,SE-14,dun,0.5
JHR,SE-15,dun,0.5
SBH,SE-01,dun,0.3
SBH,SE-03,dun,0.3
SBH,SE-04,dun,0.3
SBH,SE-05,dun,0.3
SBH,SE-06,dun,0.3
SBH,SE-07,dun,0.3
SBH,SE-08,dun,0.3
SBH,SE-09,dun,0.2
SBH,SE-10,dun,0.2
SBH,SE-11,dun,0.15
SBH,SE-12,dun,0.15
SBH,SE-13,dun,0.15
SBH,SE-14,dun,0.15
SBH,SE-15,dun,0.15
SWK,SE-01,dun,0.15
SWK,SE-02,dun,0.15
SWK,SE-03,dun,0.15
SWK,SE-04,dun,0.15
SWK,SE-05,dun,0.15
SWK,SE-06,dun,0.1
SWK,SE-07,dun,0.1
SWK,SE-08,dun,0.1
SWK,SE-09,dun,0.1
SWK,SE-10,dun,0.1
SWK,SE-11,dun,0.1
SWK,SE-12,dun,0.1
