state,year,election,peninsular,sabah,sarawak
Malaysia,1955,GE-00,1954,0,0
Malaysia,1959,GE-01,1958,0,0
Malaysia,1964,GE-02,1958,0,0
Malaysia,1969,GE-03,1958,1966,1968
Malaysia,1974,GE-04,1974,1974,1968
Malaysia,1978,GE-05,1974,1974,1977
Malaysia,1982,GE-06,1974,1974,1977
Malaysia,1986,GE-07,1984,1984,1977
Malaysia,1990,GE-08,1984,1984,1987
Malaysia,1995,GE-09,1994,1994,1987
Malaysia,1999,GE-10,1994,1994,1996
Malaysia,2004,GE-11,2003,2003,1996
Malaysia,2008,GE-12,2003,2003,2005
Malaysia,2013,GE-13,2003,2003,2005
Malaysia,2018,GE-14,2018,2003,2015
Malaysia,2022,GE-15,2018,2019,2015
Johor,1959,SE-01,1958,0,0
Johor,1964,SE-02,1958,0,0
Johor,1969,SE-03,1958,0,0
Johor,1974,SE-04,1974,0,0
Johor,1978,SE-05,1974,0,0
Johor,1982,SE-06,1974,0,0
Johor,1986,SE-07,1984,0,0
Johor,1990,SE-08,1984,0,0
Johor,1995,SE-09,1994,0,0
Johor,1999,SE-10,1994,0,0
Johor,2004,SE-11,2003,0,0
Johor,2008,SE-12,2003,0,0
Johor,2013,SE-13,2003,0,0
Johor,2018,SE-14,2018,0,0
Johor,2022,SE-15,2018,0,0
Johor,2026,SE-16,2018,0,0
Kedah,1959,SE-01,1958,0,0
Kedah,1964,SE-02,1958,0,0
Kedah,1969,SE-03,1958,0,0
Kedah,1974,SE-04,1974,0,0
Kedah,1978,SE-05,1974,0,0
Kedah,1982,SE-06,1974,0,0
Kedah,1986,SE-07,1984,0,0
Kedah,1990,SE-08,1984,0,0
Kedah,1995,SE-09,1994,0,0
Kedah,1999,SE-10,1994,0,0
Kedah,2004,SE-11,2003,0,0
Kedah,2008,SE-12,2003,0,0
Kedah,2013,SE-13,2003,0,0
Kedah,2018,SE-14,2018,0,0
Kedah,2023,SE-15,2018,0,0
Kelantan,1959,SE-01,1958,0,0
Kelantan,1964,SE-02,1958,0,0
Kelantan,1969,SE-03,1958,0,0
Kelantan,1974,SE-04,1974,0,0
Kelantan,1978,SE-05,1974,0,0
Kelantan,1982,SE-06,1974,0,0
Kelantan,1986,SE-07,1984,0,0
Kelantan,1990,SE-08,1984,0,0
Kelantan,1995,SE-09,1994,0,0
Kelantan,1999,SE-10,1994,0,0
Kelantan,2004,SE-11,2003,0,0
Kelantan,2008,SE-12,2003,0,0
Kelantan,2013,SE-13,2003,0,0
Kelantan,2018,SE-14,2018,0,0
Kelantan,2023,SE-15,2018,0,0
Melaka,1959,SE-01,1958,0,0
Melaka,1964,SE-02,1958,0,0
Melaka,1969,SE-03,1958,0,0
Melaka,1974,SE-04,1974,0,0
Melaka,1978,SE-05,1974,0,0
Melaka,1982,SE-06,1974,0,0
Melaka,1986,SE-07,1984,0,0
Melaka,1990,SE-08,1984,0,0
Melaka,1995,SE-09,1994,0,0
Melaka,1999,SE-10,1994,0,0
Melaka,2004,SE-11,2003,0,0
Melaka,2008,SE-12,2003,0,0
Melaka,2013,SE-13,2003,0,0
Melaka,2018,SE-14,2018,0,0
Melaka,2021,SE-15,2018,0,0
Negeri Sembilan,1959,SE-01,1958,0,0
Negeri Sembilan,1964,SE-02,1958,0,0
Negeri Sembilan,1969,SE-03,1958,0,0
Negeri Sembilan,1974,SE-04,1974,0,0
Negeri Sembilan,1978,SE-05,1974,0,0
Negeri Sembilan,1982,SE-06,1974,0,0
Negeri Sembilan,1986,SE-07,1984,0,0
Negeri Sembilan,1990,SE-08,1984,0,0
Negeri Sembilan,1995,SE-09,1994,0,0
Negeri Sembilan,1999,SE-10,1994,0,0
Negeri Sembilan,2004,SE-11,2003,0,0
Negeri Sembilan,2008,SE-12,2003,0,0
Negeri Sembilan,2013,SE-13,2003,0,0
Negeri Sembilan,2018,SE-14,2018,0,0
Negeri Sembilan,2023,SE-15,2018,0,0
Negeri Sembilan,2026,SE-16,2018,0,0
Pahang,1959,SE-01,1958,0,0
Pahang,1964,SE-02,1958,0,0
Pahang,1969,SE-03,1958,0,0
Pahang,1974,SE-04,1974,0,0
Pahang,1978,SE-05,1974,0,0
Pahang,1982,SE-06,1974,0,0
Pahang,1986,SE-07,1984,0,0
Pahang,1990,SE-08,1984,0,0
Pahang,1995,SE-09,1994,0,0
Pahang,1999,SE-10,1994,0,0
Pahang,2004,SE-11,2003,0,0
Pahang,2008,SE-12,2003,0,0
Pahang,2013,SE-13,2003,0,0
Pahang,2018,SE-14,2018,0,0
Pahang,2022,SE-15,2018,0,0
Perak,1959,SE-01,1958,0,0
Perak,1964,SE-02,1958,0,0
Perak,1969,SE-03,1958,0,0
Perak,1974,SE-04,1974,0,0
Perak,1978,SE-05,1974,0,0
Perak,1982,SE-06,1974,0,0
Perak,1986,SE-07,1984,0,0
Perak,1990,SE-08,1984,0,0
Perak,1995,SE-09,1994,0,0
Perak,1999,SE-10,1994,0,0
Perak,2004,SE-11,2003,0,0
Perak,2008,SE-12,2003,0,0
Perak,2013,SE-13,2003,0,0
Perak,2018,SE-14,2018,0,0
Perak,2022,SE-15,2018,0,0
Perlis,1959,SE-01,1958,0,0
Perlis,1964,SE-02,1958,0,0
Perlis,1969,SE-03,1958,0,0
Perlis,1974,SE-04,1974,0,0
Perlis,1978,SE-05,1974,0,0
Perlis,1982,SE-06,1974,0,0
Perlis,1986,SE-07,1984,0,0
Perlis,1990,SE-08,1984,0,0
Perlis,1995,SE-09,1994,0,0
Perlis,1999,SE-10,1994,0,0
Perlis,2004,SE-11,2003,0,0
Perlis,2008,SE-12,2003,0,0
Perlis,2013,SE-13,2003,0,0
Perlis,2018,SE-14,2018,0,0
