state,parlimen,code_parlimen,dun,code_dun,area_compute,area_gazette,diff,diff_perc
Pahang,P.083 Bentung,P.083,N.31 Pelangai,N.31,700.5,345,355.5,103.04
Perak,P.072 Bagan Datok,P.072,N.47 Rungkup,N.47,286.6,229,57.6,25.15
Pulau Pinang,P.048 Tanjong,P.048,N.22 Padang Kota,N.22,2.5,2,0.5,25.0
Kedah,P.015 Sungai Petani,P.015,N.29 Sidam,N.29,96.2,77,19.2,24.94
Kedah,P.009 Alor Setar,P.009,N.13 Kota Darul Aman,N.13,6.1,5,1.1,22.0
Kedah,P.008 Pokok Sena,P.008,N.09 Bukit Lada,N.09,241.2,209,32.2,15.41
Pulau Pinang,P.049 Jelutong,P.049,N.27 Batu Lanchang,N.27,2.3,2,0.3,15.0
Perlis,P.002 Kangar,P.002,N.08 Indera Kayangan,N.08,6.8,6,0.8,13.33
Terengganu,P.039 Dungun,P.039,N.27 Sura,N.27,10.2,9,1.2,13.33
Pahang,P.080 Pekan,P.080,N.18 Kuala Pahang,N.18,227.6,201,26.6,13.23
Johor,P.140 Tebrau,P.140,N.32 Pasir Gudang,N.32,305.0,275,30.0,10.91
Selangor,P.099 Kapar,P.099,N.40 Selat Klang,N.40,223.7,202,21.7,10.74
Kelantan,P.021 Kota Bharu,P.021,N.07 Tanjong Mas,N.07,23.2,21,2.2,10.48
Perak,P.054 Parit Buntar,P.054,N.06 Titi Serong,N.06,89.0,81,8.0,9.88
Perak,P.071 Lumut,P.071,N.45 Pasir Panjang,N.45,234.3,215,19.3,8.98
Kedah,P.014 Merbok,P.014,N.26 Tanjong Dawai,N.26,174.2,160,14.2,8.87
Negeri Sembilan,P.119 Telok Kemang,P.119,N.30 Pasir Panjang,N.30,95.7,88,7.7,8.75
Kelantan,P.026 Peringat,P.026,N.23 Kadok,N.23,60.7,56,4.7,8.39
Kelantan,P.021 Kota Bharu,P.021,N.08 Kota Lama,N.08,6.5,6,0.5,8.33
Perlis,P.002 Kangar,P.002,N.09 Kuala Perlis,N.09,22.7,21,1.7,8.1
Perak,P.056 Bukit Gantang,P.056,N.10 Kuala Sapetang,N.10,415.9,385,30.9,8.03
Kelantan,P.019 Tumpat,P.019,N.02 Kelaboran,N.02,53.7,50,3.7,7.4
Perlis,P.003 Arau,P.003,N.15 Sanglang,N.15,42.9,40,2.9,7.25
Kedah,P.005 Jerlun,P.005,N.03 Ayer Hitam,N.03,135.1,126,9.1,7.22
Perak,P.061 Ipoh Timor,P.061,N.23 Tebing Tinggi,N.23,10.7,10,0.7,7.0
Terengganu,P.036 Kuala Terengganu,P.036,N.13 Wakaf Mempelam,N.13,12.8,12,0.8,6.67
Kelantan,P.021 Kota Bharu,P.021,N.09 Bunut Payong,N.09,14.9,14,0.9,6.43
Perak,P.061 Ipoh Timor,P.061,N.24 Pasir Pinji,N.24,8.5,8,0.5,6.25
Kelantan,P.028 Pasir Puteh,P.028,N.30 Semerak,N.30,124.2,117,7.2,6.15
Terengganu,P.040 Kemaman,P.040,N.31 Cukai,N.31,98.7,93,5.7,6.13
