state,parlimen,code_parlimen,dun,code_dun,area_compute,area_gazette,diff,diff_perc
Sabah,P.172 Kota Kinabalu,P.172,N.20 Api-Api,N.20,4.5,4,0.5,12.5
Sabah,P.191 Kalabakan,P.191,N.70 Kukusan,N.70,8.3,8,0.3,3.75
Sabah,P.173 Putatan,P.173,N.24 Tanjung Keramat,N.24,13.3,13,0.3,2.31
Sabah,P.178 Sipitang,P.178,N.34 Lumadan,N.34,1018.0,1007,11.0,1.09
Sabah,P.191 Kalabakan,P.191,N.71 Tanjung Batu,N.71,11.1,11,0.1,0.91
Sabah,P.184 Libaran,P.184,N.52 Sungai Sibuga,N.52,37.3,37,0.3,0.81
Sabah,P.175 Papar,P.175,N.28 Kawang,N.28,55.4,55,0.4,0.73
Sabah,P.173 Putatan,P.173,N.23 Petagas,N.23,15.1,15,0.1,0.67
Sabah,P.178 Sipitang,P.178,N.35 Sindumin,N.35,2724.1,2708,16.1,0.59
Sabah,P.169 Kota Belud,P.169,N.09 Tempasuk,N.09,159.4,159,0.4,0.25
Sabah,P.171 Sepanggar,P.171,N.16 Karambunai,N.16,88.2,88,0.2,0.23
Sabah,P.179 Ranau,P.179,N.37 Karanaan,N.37,185.4,185,0.4,0.22
Sabah,P.169 Kota Belud,P.169,N.10 Usukan,N.10,95.2,95,0.2,0.21
Sabah,P.170 Tuaran,P.170,N.12 Sulaman,N.12,113.2,113,0.2,0.18
Sabah,P.184 Libaran,P.184,N.51 Sungai Manila,N.51,116.2,116,0.2,0.17
Sabah,P.189 Semporna,P.189,N.65 Senallang,N.65,299.4,299,0.4,0.13
Sabah,P.167 Kudat,P.167,N.04 Tanjong Kapor,N.04,214.1,214,0.1,0.05
Sabah,P.177 Beaufort,P.177,N.33 Kuala Penyu,N.33,448.2,448,0.2,0.04
Sabah,P.180 Keningau,P.180,N.40 Bingkor,N.40,397.1,397,0.1,0.03
Sabah,P.169 Kota Belud,P.169,N.08 Pintasan,N.08,300.1,300,0.1,0.03
Sabah,P.188 Lahad Datu,P.188,N.61 Segama,N.61,1144.3,1144,0.3,0.03
Sabah,P.187 Kinabatangan,P.187,N.58 Lamag,N.58,2142.5,2142,0.5,0.02
Sabah,P.182 Pensiangan,P.182,N.45 Sook,N.45,1533.3,1533,0.3,0.02
Sabah,P.179 Ranau,P.179,N.38 Paginatan,N.38,1870.3,1870,0.3,0.02
Sabah,P.188 Lahad Datu,P.188,N.60 Tungku,N.60,3297.4,3297,0.4,0.01
Sabah,P.183 Beluran,P.183,N.49 Labuk,N.49,1407.2,1407,0.2,0.01
Sabah,P.183 Beluran,P.183,N.48 Sugut,N.48,3844.4,3844,0.4,0.01
Sabah,P.180 Keningau,P.180,N.39 Tambunan,N.39,1414.1,1414,0.1,0.01
Sabah,P.191 Kalabakan,P.191,N.73 Sebatik,N.73,3630.5,3630,0.5,0.01
Sabah,P.183 Beluran,P.183,N.47 Telupid,N.47,2197.0,2197,0.0,0.0
Sabah,P.182 Pensiangan,P.182,N.46 Nabawan,N.46,6114.1,6114,0.1,0.0
Sabah,P.177 Beaufort,P.177,N.32 Klias,N.32,423.0,423,0.0,0.0
Sabah,P.167 Kudat,P.167,N.03 Pitas,N.03,454.0,454,0.0,0.0
Sabah,P.190 Tawau,P.190,N.69 Sri Tanjong,N.69,19.0,19,0.0,0.0
Sabah,P.179 Ranau,P.179,N.36 Kundasang,N.36,1836.0,1836,0.0,0.0
Sabah,P.167 Kudat,P.167,N.02 Bengkoka,N.02,1011.0,1011,0.0,0.0
Sabah,P.187 Kinabatangan,P.187,N.59 Sukau,N.59,4972.1,4972,0.1,0.0
Sabah,P.180 Keningau,P.180,N.41 Liawan,N.41,420.0,420,0.0,0.0
Sabah,P.181 Tenom,P.181,N.42 Melalap,N.42,638.0,638,0.0,0.0
Sabah,P.170 Tuaran,P.170,N.13 Pantai Dalit,N.13,48.0,48,0.0,0.0
Sabah,P.182 Pensiangan,P.182,N.44 Tulid,N.44,1250.0,1250,0.0,0.0
Sabah,P.187 Kinabatangan,P.187,N.57 Kuamut,N.57,10954.1,10954,0.1,0.0
Sabah,P.188 Lahad Datu,P.188,N.62 Silam,N.62,3048.6,3049,-0.4,-0.01
Sabah,P.170 Tuaran,P.170,N.15 Kiulu,N.15,675.9,676,-0.1,-0.01
Sabah,P.174 Penampang,P.174,N.26 Moyog,N.26,472.9,473,-0.1,-0.02
Sabah,P.176 Kimanis,P.176,N.30 Bongawan,N.30,656.8,657,-0.2,-0.03
Sabah,P.168 Kota Marudu,P.168,N.07 Tandek,N.07,991.7,992,-0.3,-0.03
Sabah,P.170 Tuaran,P.170,N.14 Tamparuli,N.14,288.9,289,-0.1,-0.03
Sabah,P.191 Kalabakan,P.191,N.72 Merotai,N.72,901.6,902,-0.4,-0.04
Sabah,P.175 Papar,P.175,N.27 Limbahau,N.27,511.8,512,-0.2,-0.04
Sabah,P.169 Kota Belud,P.169,N.11 Kadamaian,N.11,817.7,818,-0.3,-0.04
Sabah,P.168 Kota Marudu,P.168,N.06 Bandau,N.06,755.7,756,-0.3,-0.04
Sabah,P.190 Tawau,P.190,N.67 Balung,N.67,942.5,943,-0.5,-0.05
Sabah,P.184 Libaran,P.184,N.50 Gum-Gum,N.50,776.6,777,-0.4,-0.05
Sabah,P.188 Lahad Datu,P.188,N.63 Kunak,N.63,1103.5,1104,-0.5,-0.05
Sabah,P.168 Kota Marudu,P.168,N.05 Matunggong,N.05,533.7,534,-0.3,-0.06
Sabah,P.185 Batu Sapi,P.185,N.53 Sekong,N.53,441.7,442,-0.3,-0.07
Sabah,P.189 Semporna,P.189,N.66 Bugaya,N.66,592.6,593,-0.4,-0.07
Sabah,P.189 Semporna,P.189,N.64 Sulabayan,N.64,233.8,234,-0.2,-0.09
Sabah,P.167 Kudat,P.167,N.01 Banggi,N.01,620.4,621,-0.6,-0.1
Sabah,P.190 Tawau,P.190,N.68 Apas,N.68,369.6,370,-0.4,-0.11
Sabah,P.171 Sepanggar,P.171,N.18 Inanam,N.18,214.7,215,-0.3,-0.14
Sabah,P.176 Kimanis,P.176,N.31 Membakut,N.31,291.6,292,-0.4,-0.14
Sabah,P.173 Putatan,P.173,N.22 Tanjung Aru,N.22,29.9,30,-0.1,-0.33
Sabah,P.185 Batu Sapi,P.185,N.54 Karamunting,N.54,11.9,12,-0.1,-0.83
Sabah,P.175 Papar,P.175,N.29 Pantai Manis,N.29,42.6,43,-0.4,-0.93
Sabah,P.186 Sandakan,P.186,N.55 Elopura,N.55,18.8,19,-0.2,-1.05
Sabah,P.174 Penampang,P.174,N.25 Kapayan,N.25,18.7,19,-0.3,-1.58
Sabah,P.181 Tenom,P.181,N.43 Kemabong,N.43,1780.1,1819,-38.9,-2.14
Sabah,P.172 Kota Kinabalu,P.172,N.19 Likas,N.19,11.6,12,-0.4,-3.33
Sabah,P.171 Sepanggar,P.171,N.17 Darau,N.17,13.5,14,-0.5,-3.57
Sabah,P.172 Kota Kinabalu,P.172,N.21 Luyang,N.21,9.6,10,-0.4,-4.0
Sabah,P.186 Sandakan,P.186,N.56 Tanjong Papat,N.56,3.7,4,-0.3,-7.5
