state,parlimen,code_parlimen,dun,code_dun,area_compute,area_gazette,diff,diff_perc
Sarawak,P.194 Petra Jaya,P.194,N.07 Samariang,N.07,36.8,17,19.799999999999997,116.4705882352941
Sarawak,P.199 Serian,P.199,N.22 Kedup,N.22,596.4,406,190.39999999999998,46.89655172413792
Sarawak,P.218 Sibuti,P.218,N.72 Lambir,N.72,610.5,473,137.5,29.069767441860467
Sarawak,P.198 Puncak Borneo,P.198,N.18 Serembu,N.18,378.1,311,67.10000000000002,21.57556270096464
Sarawak,P.212 Sibu,P.212,N.54 Pelawan,N.54,14.4,12,2.4000000000000004,20.000000000000004
Sarawak,P.199 Serian,P.199,N.21 Tebedu,N.21,569.5,485,84.5,17.422680412371133
Sarawak,P.206 Tanjong Manis,P.206,N.41 Kuala Rajang,N.41,887.2,778,109.20000000000005,14.035989717223657
Sarawak,P.202 Sri Aman,P.202,N.32 Simanggang,N.32,349.2,307,42.19999999999999,13.745928338762212
Sarawak,P.197 Kota Samarahan,P.197,N.16 Muara Tuang,N.16,447.4,399,48.39999999999998,12.130325814536336
Sarawak,P.211 Lanang,P.211,N.51 Bukit Assek,N.51,58.9,53,5.899999999999999,11.13207547169811
Sarawak,P.196 Stampin,P.196,N.12 Kota Sentosa,N.12,38.1,35,3.1000000000000014,8.857142857142861
Sarawak,P.192 Mas Gading,P.192,N.01 Opar,N.01,1073.8,1010,63.799999999999955,6.316831683168313
Sarawak,P.202 Sri Aman,P.202,N.30 Balai Ringin,N.30,1393.9,1314,79.90000000000009,6.0806697108067045
Sarawak,P.201 Batang Lupar,P.201,N.29 Beting Maro,N.29,498.4,472,26.399999999999977,5.593220338983046
Sarawak,P.195 Bandar Kuching,P.195,N.11 Batu Lintang,N.11,15.8,15,0.8000000000000007,5.3333333333333375
Sarawak,P.195 Bandar Kuching,P.195,N.10 Pending,N.10,14.7,14,0.6999999999999993,4.999999999999995
Sarawak,P.212 Sibu,P.212,N.53 Bawang Assan,N.53,1121.7,1074,47.700000000000045,4.441340782122909
Sarawak,P.210 Kanowit,P.210,N.50 Machan,N.50,1011.5,976,35.5,3.637295081967213
Sarawak,P.213 Mukah,P.213,N.58 Balingian,N.58,1135.3,1100,35.299999999999955,3.209090909090905
Sarawak,P.203 Lubok Antu,P.203,N.34 Batang Ai,N.34,2059.8,1996,63.80000000000018,3.196392785571151
Sarawak,P.204 Betong,P.204,N.35 Saribas,N.35,425.1,412,13.100000000000023,3.179611650485442
Sarawak,P.210 Kanowit,P.210,N.49 Ngemah,N.49,1243.8,1211,32.799999999999955,2.7085053674649013
Sarawak,P.198 Puncak Borneo,P.198,N.19 Mambong,N.19,510.3,497,13.300000000000011,2.676056338028171
Sarawak,P.202 Sri Aman,P.202,N.31 Bukit Begunan,N.31,1082.3,1057,25.299999999999955,2.3935666982024553
Sarawak,P.209 Julau,P.209,N.47 Pakan,N.47,872.3,852,20.299999999999955,2.382629107981215
Sarawak,P.222 Lawas,P.222,N.82 Bukit Sari,N.82,454.7,445,9.699999999999989,2.1797752808988737
Sarawak,P.194 Petra Jaya,P.194,N.08 Satok,N.08,10.2,10,0.1999999999999993,1.9999999999999927
Sarawak,P.195 Bandar Kuching,P.195,N.09 Padungan,N.09,6.1,6,0.09999999999999964,1.6666666666666607
Sarawak,P.207 Igan,P.207,N.44 Jemoreng,N.44,732.5,724,8.5,1.1740331491712708
Sarawak,P.216 Hulu Rajang,P.216,N.66 Murum,N.66,10943.1,10894,49.100000000000364,0.450706811088676
Sarawak,P.220 Baram,P.220,N.77 Telang Usan,N.77,9092.3,9062,30.299999999999272,0.3343632752151763
Sarawak,P.216 Hulu Rajang,P.216,N.65 Belaga,N.65,11610.1,11579,31.100000000000364,0.268589688228693
Sarawak,P.197 Kota Samarahan,P.197,N.15 Asajaya,N.15,246.3,246,0.30000000000001137,0.12195121951219974
Sarawak,P.205 Saratok,P.205,N.38 Kalaka,N.38,422.3,422,0.30000000000001137,0.07109004739336762
Sarawak,P.213 Mukah,P.213,N.57 Tellian,N.57,1227.4,1227,0.40000000000009095,0.032599837000822404
Sarawak,P.215 Kapit,P.215,N.61 Pelagus,N.61,1635.3,1635,0.2999999999999545,0.018348623853208228
Sarawak,P.217 Bintulu,P.217,N.69 Kemena,N.69,5306.9,5307,-0.1000000000003638,-0.0018843037497713172
Sarawak,P.217 Bintulu,P.217,N.70 Samalaju,N.70,2256.9,2257,-0.09999999999990905,-0.004430660168361056
Sarawak,P.214 Selangau,P.214,N.60 Kakus,N.60,5700.6,5701,-0.3999999999996362,-0.007016312927550188
Sarawak,P.205 Saratok,P.205,N.39 Krian,N.39,828.9,829,-0.10000000000002274,-0.012062726176118544
Sarawak,P.215 Kapit,P.215,N.63 Bukit Goram,N.63,875.7,876,-0.2999999999999545,-0.03424657534246056
Sarawak,P.211 Lanang,P.211,N.52 Dudong,N.52,668.6,669,-0.39999999999997726,-0.059790732436468944
Sarawak,P.217 Bintulu,P.217,N.67 Jepak,N.67,700.5,701,-0.5,-0.07132667617689016
Sarawak,P.200 Batang Sadong,P.200,N.26 Gedong,N.26,631.5,632,-0.5,-0.07911392405063292
Sarawak,P.200 Batang Sadong,P.200,N.24 Sadong Jaya,N.24,75.9,76,-0.09999999999999432,-0.13157894736841358
Sarawak,P.200 Batang Sadong,P.200,N.25 Simunjan,N.25,322.5,323,-0.5,-0.15479876160990713
Sarawak,P.208 Sarikei,P.208,N.46 Meradong,N.46,566.8,568,-1.2000000000000455,-0.2112676056338108
Sarawak,P.193 Santubong,P.193,N.04 Pantai Damai,N.04,371.6,373,-1.3999999999999773,-0.37533512064342556
Sarawak,P.216 Hulu Rajang,P.216,N.64 Baleh,N.64,11550.6,11607,-56.399999999999636,-0.48591367278366193
Sarawak,P.197 Kota Samarahan,P.197,N.17 Stakan,N.17,99.5,100,-0.5,-0.5
Sarawak,P.201 Batang Lupar,P.201,N.27 Sebuyau,N.27,544.9,548,-3.1000000000000227,-0.5656934306569384
Sarawak,P.214 Selangau,P.214,N.59 Tamin,N.59,3472.1,3492,-19.90000000000009,-0.5698739977090518
Sarawak,P.196 Stampin,P.196,N.14 Batu Kawah,N.14,78.5,79,-0.5,-0.6329113924050633
Sarawak,P.221 Limbang,P.221,N.79 Bukit Kota,N.79,464.6,468,-3.3999999999999773,-0.7264957264957217
Sarawak,P.220 Baram,P.220,N.76 Marudi,N.76,3508.1,3538,-29.90000000000009,-0.8451102317693637
Sarawak,P.193 Santubong,P.193,N.05 Demak Laut,N.05,220.8,223,-2.1999999999999886,-0.9865470852017886
Sarawak,P.198 Puncak Borneo,P.198,N.20 Tarat,N.20,514.6,520,-5.399999999999977,-1.038461538461534
Sarawak,P.220 Baram,P.220,N.78 Mulu,N.78,9293.0,9475,-182.0,-1.9208443271767808
Sarawak,P.204 Betong,P.204,N.37 Bukit Saban,N.37,565.8,577,-11.200000000000045,-1.9410745233968882
Sarawak,P.193 Santubong,P.193,N.03 Tanjong Datu,N.03,887.1,905,-17.899999999999977,-1.9779005524861855
Sarawak,P.221 Limbang,P.221,N.80 Batu Danau,N.80,3663.7,3743,-79.30000000000018,-2.1186214266631094
Sarawak,P.201 Batang Lupar,P.201,N.28 Lingga,N.28,949.4,970,-20.600000000000023,-2.123711340206188
Sarawak,P.203 Lubok Antu,P.203,N.33 Engkilili,N.33,1269.9,1298,-28.09999999999991,-2.164869029275802
Sarawak,P.215 Kapit,P.215,N.62 Katibas,N.62,3730.1,3820,-89.90000000000009,-2.353403141361259
Sarawak,P.208 Sarikei,P.208,N.45 Repok,N.45,139.4,144,-4.599999999999994,-3.1944444444444406
Sarawak,P.206 Tanjong Manis,P.206,N.42 Semop,N.42,1199.5,1246,-46.5,-3.7319422150882824
Sarawak,P.209 Julau,P.209,N.48 Meluan,N.48,1928.0,2006,-78.0,-3.8883349950149553
Sarawak,P.204 Betong,P.204,N.36 Layar,N.36,392.3,409,-16.69999999999999,-4.083129584352076
Sarawak,P.222 Lawas,P.222,N.81 Ba'kelalan,N.81,3288.4,3444,-155.5999999999999,-4.518002322880369
Sarawak,P.218 Sibuti,P.218,N.71 Bekenu,N.71,1049.3,1103,-53.700000000000045,-4.8685403445149635
Sarawak,P.196 Stampin,P.196,N.13 Batu Kitang,N.13,75.1,80,-4.900000000000006,-6.125000000000007
Sarawak,P.219 Miri,P.219,N.75 Senadin,N.75,652.0,703,-51.0,-7.254623044096728
Sarawak,P.212 Sibu,P.212,N.55 Nangka,N.55,282.2,313,-30.80000000000001,-9.840255591054317
Sarawak,P.205 Saratok,P.205,N.40 Kabong,N.40,371.2,415,-43.80000000000001,-10.554216867469881
Sarawak,P.207 Igan,P.207,N.43 Daro,N.43,1324.5,1482,-157.5,-10.62753036437247
Sarawak,P.213 Mukah,P.213,N.56 Dalat,N.56,574.7,658,-83.29999999999995,-12.6595744680851
Sarawak,P.192 Mas Gading,P.192,N.02 Tasik Biru,N.02,392.3,471,-78.69999999999999,-16.70912951167728
Sarawak,P.194 Petra Jaya,P.194,N.06 Tupong,N.06,77.6,99,-21.400000000000006,-21.616161616161623
Sarawak,P.219 Miri,P.219,N.74 Pujut,N.74,13.3,17,-3.6999999999999993,-21.764705882352935
Sarawak,P.217 Bintulu,P.217,N.68 Tanjong Batu,N.68,27.1,35,-7.899999999999999,-22.571428571428566
Sarawak,P.219 Miri,P.219,N.73 Piasau,N.73,32.2,51,-18.799999999999997,-36.86274509803921
Sarawak,P.199 Serian,P.199,N.23 Bukit Semuja,N.23,340.0,572,-232.0,-40.55944055944056
